datahora,country,estado,municipio,bioma,Latitude,Longitude
8/1/20,Brasil,TOCANTINS,PARANA,Cerrado,-13.18,-47.847
8/1/20,Brasil,TOCANTINS,PARANA,Cerrado,-13.182,-47.86
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-13.896,-53.932
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-13.887,-53.933
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.872,-56.868
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.85,-56.225
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.864,-56.881
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.875,-56.861
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.877,-56.879
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.88,-56.83
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.882,-56.848
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.885,-56.841
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.895,-56.248
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.893,-56.231
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.899,-56.236
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.907,-56.246
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.993,-57.229
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.994,-57.234
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.995,-57.249
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.996,-57.254
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.014,-57.308
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.016,-57.206
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.017,-57.211
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.013,-57.292
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.018,-57.226
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.087,-57.04
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.089,-57.059
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.09,-57.052
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.118,-57.068
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.116,-57.049
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.052,-54.034
8/1/20,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,-14.167,-51.891
8/1/20,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,-14.176,-51.889
8/1/20,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,-14.177,-51.899
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.301,-53.992
8/1/20,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,-14.186,-51.897
8/1/20,Brasil,MATO GROSSO,AGUA BOA,Cerrado,-14.279,-52.095
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.302,-54.002
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.304,-54.013
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.309,-53.979
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.31,-53.99
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.313,-54.012
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.312,-54.001
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.32,-53.989
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.394,-53.399
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.396,-53.409
8/1/20,Brasil,MATO GROSSO,DIAMANTINO,Cerrado,-14.426,-56.455
8/1/20,Brasil,MATO GROSSO,DIAMANTINO,Cerrado,-14.428,-56.47
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.431,-53.346
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.476,-53.114
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.465,-53.31
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.466,-53.32
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.478,-53.124
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.512,-53.266
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.513,-53.277
8/1/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.535,-53.222
8/1/20,Brasil,MATO GROSSO,NOVA BRASILANDIA,Cerrado,-14.681,-55.192
8/1/20,Brasil,MATO GROSSO,NOVA BRASILANDIA,Cerrado,-14.69,-55.178
8/1/20,Brasil,MATO GROSSO,NOVA BRASILANDIA,Cerrado,-14.683,-55.205
8/1/20,Brasil,MATO GROSSO,NOVA BRASILANDIA,Cerrado,-14.691,-55.191
8/1/20,Brasil,MATO GROSSO,NOVA OLIMPIA,Amazonia,-14.781,-57.655
8/1/20,Brasil,MATO GROSSO,NOVA OLIMPIA,Amazonia,-14.782,-57.648
8/1/20,Brasil,MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,-15.122,-54.034
8/1/20,Brasil,MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,-15.123,-54.045
8/1/20,Brasil,MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,-15.125,-54.056
8/1/20,Brasil,MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,-15.133,-54.043
8/1/20,Brasil,MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,-15.135,-54.055
8/1/20,Brasil,MATO GROSSO,BARRA DO GARCAS,Cerrado,-15.468,-52.937
8/1/20,Brasil,MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,-15.132,-54.032
8/1/20,Brasil,MATO GROSSO,BARRA DO GARCAS,Cerrado,-15.469,-52.947
8/1/20,Brasil,MATO GROSSO,BARRA DO GARCAS,Cerrado,-15.477,-52.935
8/1/20,Brasil,MATO GROSSO,BARRA DO GARCAS,Cerrado,-15.479,-52.946
8/1/20,Brasil,MATO GROSSO,NOSSA SENHORA DO LIVRAMENTO,Cerrado,-15.932,-56.369
8/1/20,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,-16.206,-55.806
8/1/20,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,-16.205,-55.799
8/1/20,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,-16.207,-55.815
8/1/20,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,-16.208,-55.822
8/1/20,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,-16.266,-55.823
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.539,-56.217
8/1/20,Brasil,MATO GROSSO,RONDONOPOLIS,Cerrado,-16.546,-54.502
8/1/20,Brasil,MATO GROSSO,RONDONOPOLIS,Cerrado,-16.547,-54.515
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.815,-57.144
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.787,-57.133
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.789,-57.152
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.815,-57.149
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.817,-57.163
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.817,-57.168
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.819,-57.183
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-16.819,-57.188
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.848,-56.209
8/1/20,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,-16.838,-56.227
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-13.898,-53.942
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-13.936,-54.079
8/1/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-14.028,-54.081
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.13,-57.067
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.133,-57.086
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.143,-57.065
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.145,-57.084
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.148,-57.104
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.15,-57.123
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.162,-57.122
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.16,-57.102
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.162,-57.117
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.231,-57.269
8/1/20,Brasil,MATO GROSSO,POCONE,Pantanal,-17.244,-57.268
8/1/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.333,-58.066
8/1/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.335,-58.09
8/1/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.367,-58.056
8/1/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.414,-58.097
8/1/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.374,-58.062
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.978,-50.504
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.979,-50.513
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.984,-50.507
8/1/20,Brasil,MATO GROSSO,NOVA SANTA HELENA,Amazonia,-11.003,-54.846
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-11.216,-53.854
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.147,-50.594
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-11.214,-53.844
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-11.224,-53.843
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-11.225,-53.852
8/1/20,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,-11.252,-53.909
8/1/20,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,-11.253,-53.919
8/1/20,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,-11.269,-53.967
8/1/20,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,-11.267,-53.948
8/1/20,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,-11.271,-53.978
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.273,-50.638
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.189,-60.829
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.244,-60.304
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.247,-60.816
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.099,-60.598
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.177,-60.858
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.103,-60.624
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.175,-60.837
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.249,-60.821
8/1/20,Brasil,MATO GROSSO,COLNIZA,Amazonia,-9.248,-60.329
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.79,-50.378
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.822,-50.404
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.833,-50.602
8/1/20,Brasil,MATO GROSSO,PORTO ALEGRE DO NORTE,Cerrado,-10.838,-51.761
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.821,-50.394
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.393,-55.507
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-7.39,-59.718
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-7.391,-59.755
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-7.393,-59.739
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.394,-55.517
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-7.395,-59.761
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.396,-55.528
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-7.399,-59.71
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.411,-55.493
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-7.402,-59.731
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.412,-55.504
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.416,-55.46
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.418,-55.471
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.421,-55.492
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.422,-55.503
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.426,-55.459
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.427,-55.469
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.432,-55.501
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.429,-55.48
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.437,-55.468
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.439,-55.479
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.44,-55.489
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.443,-55.51
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.442,-55.5
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.445,-55.456
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.447,-55.467
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.448,-55.477
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.45,-55.488
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.451,-55.498
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.453,-55.509
8/1/20,Brasil,AMAZONAS,HUMAITA,Amazonia,-7.475,-63.123
8/1/20,Brasil,PARA,JACAREACANGA,Amazonia,-7.463,-57.909
8/1/20,Brasil,TOCANTINS,NOVA OLINDA,Amazonia,-7.467,-48.309
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-10.809,-54.311
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-10.81,-54.321
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.842,-50.601
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.853,-50.419
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.864,-50.428
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.863,-50.418
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-10.876,-54.738
8/1/20,Brasil,TOCANTINS,BREJINHO DE NAZARE,Cerrado,-10.894,-48.779
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.911,-50.504
8/1/20,Brasil,MATO GROSSO,NOVA CANAA DO NORTE,Amazonia,-10.919,-56.448
8/1/20,Brasil,MATO GROSSO,NOVA CANAA DO NORTE,Amazonia,-10.92,-56.461
8/1/20,Brasil,MATO GROSSO,JUARA,Amazonia,-10.92,-57.511
8/1/20,Brasil,MATO GROSSO,LUCIARA,Cerrado,-10.937,-50.737
8/1/20,Brasil,MATO GROSSO,JUARA,Amazonia,-10.922,-57.528
8/1/20,Brasil,MATO GROSSO,JUARA,Amazonia,-10.928,-57.52
8/1/20,Brasil,MATO GROSSO,LUCIARA,Cerrado,-10.938,-50.747
8/1/20,Brasil,MATO GROSSO,LUCIARA,Cerrado,-10.946,-50.736
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.95,-50.508
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.951,-50.518
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-10.953,-54.093
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.96,-50.516
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-10.955,-54.103
8/1/20,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,-10.96,-54.071
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.962,-50.526
8/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-10.971,-50.525
8/1/20,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,-11.275,-53.936
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.646,-55.206
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.649,-55.226
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.65,-55.236
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.662,-53.557
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.653,-53.558
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.66,-54.924
8/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.665,-52.678
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.671,-54.932
8/1/20,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,-6.675,-60.036
8/1/20,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,-6.678,-60.058
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.682,-55.082
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.708,-56.47
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.683,-55.092
8/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.714,-45.597
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.715,-55.489
8/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.73,-52.239
8/1/20,Brasil,AMAZONAS,BORBA,Amazonia,-6.749,-59.8
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.75,-56.393
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.751,-56.404
8/1/20,Brasil,AMAZONAS,BORBA,Amazonia,-6.752,-59.821
8/1/20,Brasil,AMAZONAS,BORBA,Amazonia,-6.758,-59.794
8/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.753,-52.264
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.757,-59.284
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.76,-59.303
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.761,-56.403
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.761,-56.408
8/1/20,Brasil,AMAZONAS,BORBA,Amazonia,-6.761,-59.815
8/1/20,Brasil,AMAZONAS,BORBA,Amazonia,-6.765,-59.82
8/1/20,Brasil,AMAZONAS,BORBA,Amazonia,-6.762,-59.799
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.767,-59.263
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.77,-59.275
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.77,-59.282
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.864,-55.173
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.865,-59.888
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.866,-55.183
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.866,-59.316
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.867,-55.541
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.867,-55.167
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.867,-59.321
