datahora,country,estado,municipio,bioma,Latitude,Longitude
9/1/20,Brasil,MARANHAO,LORETO,Cerrado,-7.06,-45.146
9/1/20,Brasil,MATO GROSSO,RIBEIRAO CASCALHEIRA,Cerrado,-12.476,-51.427
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.321,-44.584
9/1/20,Brasil,TOCANTINS,PONTE ALTA DO TOCANTINS,Cerrado,-10.731,-47.417
9/1/20,Brasil,TOCANTINS,PARANA,Cerrado,-12.311,-48.108
9/1/20,Brasil,TOCANTINS,PARANA,Cerrado,-12.322,-48.084
9/1/20,Brasil,TOCANTINS,PARANA,Cerrado,-12.329,-48.078
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.32,-44.574
9/1/20,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,-11.077,-49.556
9/1/20,Brasil,TOCANTINS,ARRAIAS,Cerrado,-12.454,-47.046
9/1/20,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,-11.076,-49.552
9/1/20,Brasil,PARA,TAILANDIA,Amazonia,-3.273,-48.936
9/1/20,Brasil,MARANHAO,SITIO NOVO,Cerrado,-6.038,-46.739
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-11.142,-48.005
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.409,-45.154
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-11.139,-47.985
9/1/20,Brasil,TOCANTINS,ALIANCA DO TOCANTINS,Cerrado,-11.31,-49.239
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.408,-45.143
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-11.155,-48.004
9/1/20,Brasil,MARANHAO,SITIO NOVO,Cerrado,-6.036,-46.726
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-11.153,-47.983
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.331,-44.583
9/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.483,-50.532
9/1/20,Brasil,MATO GROSSO,CONFRESA,Amazonia,-10.473,-51.543
9/1/20,Brasil,TOCANTINS,BOM JESUS DO TOCANTINS,Cerrado,-8.943,-48.025
9/1/20,Brasil,PARA,CURRALINHO,Amazonia,-1.728,-49.664
9/1/20,Brasil,TOCANTINS,ARAGUAINA,Cerrado,-7.355,-48.537
9/1/20,Brasil,TOCANTINS,BOM JESUS DO TOCANTINS,Cerrado,-8.946,-48.044
9/1/20,Brasil,PARA,BUJARU,Amazonia,-1.569,-48.055
9/1/20,Brasil,MARANHAO,GRAJAU,Cerrado,-5.975,-46.136
9/1/20,Brasil,MARANHAO,APICUM-ACU,Amazonia,-1.552,-45.11
9/1/20,Brasil,MARANHAO,PALMEIRANDIA,Amazonia,-2.75,-44.988
9/1/20,Brasil,MARANHAO,TUNTUM,Cerrado,-6.034,-44.807
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.392,-44.533
9/1/20,Brasil,TOCANTINS,ITACAJA,Cerrado,-8.697,-47.442
9/1/20,Brasil,PARA,BANNACH,Amazonia,-7.481,-50.554
9/1/20,Brasil,MARANHAO,GRAJAU,Cerrado,-5.972,-46.143
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.391,-44.523
9/1/20,Brasil,PARA,BANNACH,Amazonia,-7.485,-50.584
9/1/20,Brasil,TOCANTINS,ANANAS,Cerrado,-6.234,-48.037
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.397,-44.537
9/1/20,Brasil,MARANHAO,GRAJAU,Cerrado,-6.166,-45.758
9/1/20,Brasil,MARANHAO,CANDIDO MENDES,Amazonia,-1.712,-45.786
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.871,-44.172
9/1/20,Brasil,PARA,BANNACH,Amazonia,-7.428,-50.715
9/1/20,Brasil,MARANHAO,ROSARIO,Amazonia,-3.037,-44.225
9/1/20,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,-8.419,-50.317
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.87,-44.163
9/1/20,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,-8.416,-50.289
9/1/20,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,-8.438,-50.344
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.88,-44.171
9/1/20,Brasil,PARA,CONCEICAO DO ARAGUAIA,Amazonia,-8.332,-49.302
9/1/20,Brasil,PARA,ACARA,Amazonia,-2.052,-48.459
9/1/20,Brasil,MARANHAO,ROSARIO,Amazonia,-3.036,-44.215
9/1/20,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,-8.416,-50.313
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.912,-44.35
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.203,-47.349
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.201,-47.332
9/1/20,Brasil,MARANHAO,CARUTAPERA,Amazonia,-1.284,-46.017
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.911,-44.34
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.281,-47.561
9/1/20,Brasil,PARA,SAO DOMINGOS DO CAPIM,Amazonia,-1.988,-47.854
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.888,-44.174
